id,image
nb-1000066,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_B%C3%A4rengraben_am_Arbergerthor_%3D_Le_Foss%C3%A9_aux_Ours_pr%C3%A8s_de_la_porte_d%27Arberg_-Randvignette_oben_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-9-6.tif&width=1024
nb-1000067,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Rathhaus_der_Republik_Bern_%3D_L%27H%C3%B4tel_de_ville_de_la_Republique_de_Berne_-Randvignette_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-9-7.tif&width=1024
nb-1000068,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Museum_oder_Naturalien-Kabinet_%3D_Le_Mus%C3%A9e_de_la_Soci%C3%A9t%C3%A9_d%27histoire_naturelle_-Randvignette_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-9-8.tif&width=1024
nb-1000069,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Seitenansicht_des_M%C3%BCnsterthurmes_v.d._Terrasse_%3D_Vue_partielle_de_la_tour_de_Morat_prise_de_la_terrasse_-Randvignette_unten_links-_-_Collection_Gugelmann_-_GS-GUGE-83-9-9.tif&width=1024
nb-1000070,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Kornhaus_%3D_Le_Magasin_%C3%A0_bled_-Randvignette_unten_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-9-10.tif&width=1024
nb-1000071,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_grosse_Kornhaus-Keller_%3D_La_Grand%27_cave_du_magasin_%C3%A0_bled_-Randvignette_unten_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-9-11.tif&width=1024
nb-1000072,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Hauptwache_%3D_Le_Corps_de_Garde_-Randvignette_unten_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-9-12.tif&width=1024
nb-1000073,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Ausgang_von_der_M%C3%BCnster-Terrasse_g.d._Akademie_%3D_L%27Issue_de_la_terrasse_de_la_Cath%C3%A9drale_du_c%C3%B4t%C3%A9_de_l%27Acad%C3%A9mie_-Randvignette_unten_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-9-13.tif&width=1024
nb-1000108,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Luzern%2C_vom_G%C3%BCtsch_gegen_den_Rigi_aufgenommen_%3D_Luzern%2C_prise_du_mont_de_G%C3%BCtsch_vis-%C3%A0-vis_du_Rigi_-_Collection_Gugelmann_-_GS-GUGE-83-11-1.tif&width=1024
nb-1000109,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Kaserne_und_das_Zeughaus_%3D_La_Caserne_et_l%27Arsenal_-Randvignette_oben_links-_-_Collection_Gugelmann_-_GS-GUGE-83-11-2.tif&width=1024
nb-1000110,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Gibraltar_und_das_Frauenkloster_im_Bruch_%3D_Gibraltar_et_le_couvent_au_Bruch_-Randvignette_oben_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-11-3.tif&width=1024
nb-1000111,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Denkmal_der_Schweizer_vom_10_August_1792_%3D_Monument_%C3%A9rig%C3%A9_aux_Suisses%2C_morts_dans_la_r%C3%A9volution_fran%C3%A7aise_le_10_Ao%C3%BBt_1792_-Randvignette_oben_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-11-4.tif&width=1024
nb-1000112,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Spendhaus_%28in_der_Senti%29_gegen_den_G%C3%BCtsch_%3D_Le_Spendhaus_%28%C3%A0_la_Senti%29_vis-%C3%A0-vis_du_G%C3%BCtsch_-Randvignette_oben_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-11-5.tif&width=1024
nb-1000113,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Iesuiten%3DKollegium_%3D_Le_Coll%C3%A8ge_des_J%C3%A9suites_-Randvignette_oben_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-11-6.tif&width=1024
nb-1000114,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Kreuzgang_u._der_Kirchhof_im_Hof_%3D_Le_Cl%C3%B4itre_et_le_Cimeti%C3%A8re_au_Hof_-Randvignette_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-11-7.tif&width=1024
nb-1000115,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Marktplatz_unter_der_Egg_%3D_La_Place_du_march%C3%A9_en_dessous_de_l%27Egg_-Randvignette_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-11-8.tif&width=1024
nb-1000116,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Brunnen_auf_dem_Weinmarkt_%3D_La_Fontaine_sur_la_place_du_march%C3%A9_au_vin_-Randvignette_unten_links-_-_Collection_Gugelmann_-_GS-GUGE-83-11-9.tif&width=1024
nb-1000117,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Schiffl%C3%A4nde_am_Hofthor_gegen_die_Hofkirche_u._Br%C3%BCcke_%3D_L%27Att%C3%A9rage_au_Hofthor_vis-%C3%A0-vis_de_l%27%C3%A9glise_et_du_pont_au_Hof_-Randvignette_unten_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-11-10.tif&width=1024
nb-1000118,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Eingang_auf_die_Hofbr%C3%BCcke_und_das_Thor_gegen_den_See_%3D_L%27Entr%C3%A9e_au_pont_de_la_cour_et_la_porte_vers_le_Lac_-Randvignette_unten_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-11-11.tif&width=1024
nb-1000119,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Wasserthurm_von_der_Seeseite_gegen_den_Pilatus_%3D_Le_Wasserthurm_du_c%C3%B4t%C3%A9_du_lac_vis-%C3%A0-vis_du_mont_de_Pilate_-Randvignette_unten_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-11-12.tif&width=1024
nb-1000120,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Rathhaus_u._Sitz_der_Tagsatzung_%3D_L%27H%C3%B4tel_de_ville_o%C3%B9_se_tient_la_Di%C3%A9te_-Randvignette_unten_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-11-13.tif&width=1024
nb-1000198,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Altorf%2C_von_Bermite_gegen_den_Rothstock_aufgenommen_%3D_Altorf%2C_prise_depuis_Bermit%C3%A9_vis-%C3%A0-vis_du_Rothstock_-_Collection_Gugelmann_-_GS-GUGE-83-13-1.tif&width=1024
nb-1000200,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Eingang_in_das_Urner-Loch_%3D_L%27Entr%C3%A9e_du_Trou_d%27Ury_-Randvignette_oben_links-_-_Collection_Gugelmann_-_GS-GUGE-83-13-2.tif&width=1024
nb-1000201,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Tellen_Platte_am_See_%3D_Le_Plateau_de_Tell_au_bord_du_Lac_-Randvignette_oben_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-13-3.tif&width=1024
nb-1000202,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Gr%C3%BCtli_%3D_Le_Grutli_-Randvignette_oben_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-13-4.tif&width=1024
nb-1000203,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Capelle_in_B%C3%BCrglen%2C_Tells_Geburtsort_%3D_La_Chapelle_%C3%A0_Burglen%2C_lieu_de_Naissance_de_Tell_-Randvignette_oben_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-13-5.tif&width=1024
nb-1000204,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Urnerloch_gegen_Andermatt_%3D_Le_Trou_d%27Ury_vis-%C3%A0-vis_de_l%27Andermatt_-Randvignette_oben_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-13-6.tif&width=1024
nb-1000205,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Dorf_Amst%C3%A4g_u._Zwing-Uri_%3D_Le_Village_Amstaeg_et_Zwing-Ury_-Randvignette_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-13-7.tif&width=1024
nb-1000206,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Gotthardstrasse_bei_Wasen_%3D_La_Route_du_St._Gotthard_%C3%A0_Wasen_-Randvignette_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-13-8.tif&width=1024
nb-1000207,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_alte_u._neue_Teufelsbr%C3%BCcke_%3D_L%27ancien_et_le_nouveau_Pont%2C_dit_du_diable_-Randvignette_unten_links-_-_Collection_Gugelmann_-_GS-GUGE-83-13-9.tif&width=1024
nb-1000208,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Dorf_Hospital_gegen_Andermatt_%3D_Le_Village_d%27Hospital_vers_l%27Andermatt_-Randvignette_unten_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-13-10.tif&width=1024
nb-1000209,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Platz_in_Altorf_%3D_La_place_%C3%A0_Altorf_-Randvignette_unten_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-13-11.tif&width=1024
nb-1000210,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Shiffl%C3%A4nde_zu_Fl%C3%BCelen_-sic-_%3D_La_Place_du_debarquement_%C3%A0_Fluelen_-Randvignette_unten_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-13-12.tif&width=1024
nb-1000252,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Schwyz%2C_von_Ybach_an_der_Mutta_aufgenommen_%3D_Schwyz%2C_prise_depuis_Ybach%2C_pr%C3%A8s_de_la_Moutta_-_Collection_Gugelmann_-_GS-GUGE-83-15-1.tif&width=1024
nb-1000257,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Staufachers_Capelle_zu_Steinen_%3D_La_Chapelle_de_Staufacher_%C3%A0_Steinen_-Randvignette_oben_links-_-_Collection_Gugelmann_-_GS-GUGE-83-15-2.tif&width=1024
